Applications	CEF Code	NBR Version	Kit Code	Remarks (Compatibility - years - notes)	Manufacturer	Application Type
F250XA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250XA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250XA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250XA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250XA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
F250XB (121)	500401		6CE-W0078-02-00	4-stroke. Year: Jan 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250XB (no year)	500401			4-stroke. No specific year. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250XB2 (121)	500401		6CE-W0078-02-00	4-stroke. Year: Jan 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250XCA (_0112)	500401			4-stroke. Year: Jan 2012. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250XCA (_0411)	500401			4-stroke. Year: Apr 2011. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250XCA (113)	500401			4-stroke. Year: Jan 2013. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250XCA (114)	500401			4-stroke. Year: Jan 2014. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250XCA (115)	500401			4-stroke. Year: Jan 2015. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250XCA (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250XCA (121)	500401		6CE-W0078-02-00	4-stroke. Year: Jan 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250XCA (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250XCB (221)	500401		6CE-W0078-02-00	4-stroke. Year: Feb 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F250XCB2 (221)	500401		6CE-W0078-02-00	4-stroke. Year: Feb 2021. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F25C (from 2016 onward)	500384		6FM-W0078-00-00	4-stroke. OEM impeller: 6L2-44352-00-00. Redesigned engine, not compatible with previous F25A/B models. Production years: from ~2016 onward.	YAMAHA	Outboard Engines
F300BET1U (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300BETU (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300BETX (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300NCA (114)	500401			4-stroke. Year: Jan 2014. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300NCA (115)	500401			4-stroke. Year: Jan 2015. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300NCA (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300TUR (1207)	500389			4-stroke. Year: Dec 2007. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F300TUR (408)	500389			4-stroke. Year: Apr 2008. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F300TUR (409)	500389			4-stroke. Year: Apr 2009. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F300TXR (1207)	500389			4-stroke. Year: Dec 2007. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F300TXR (408)	500389			4-stroke. Year: Apr 2008. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F300TXR (409)	500389			4-stroke. Year: Apr 2009. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F300UCA (_0112)	500401			4-stroke. Year: Jan 2012. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300UCA (_0411)	500401			4-stroke. Year: Apr 2011. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300UCA (113)	500401			4-stroke. Year: Jan 2013. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300UCA (114)	500401			4-stroke. Year: Jan 2014. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300UCA (115)	500401			4-stroke. Year: Jan 2015. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300UCA (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300UCA (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300XCA (_0112)	500401			4-stroke. Year: Jan 2012. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300XCA (_0411)	500401			4-stroke. Year: Apr 2011. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300XCA (113)	500401			4-stroke. Year: Jan 2013. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300XCA (114)	500401			4-stroke. Year: Jan 2014. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300XCA (115)	500401			4-stroke. Year: Jan 2015. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300XCA (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F300XCA (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
F30TLR (405)	500385		66T-W0078-00-00	4-stroke. April 2005. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F30TLRA (2002)	500385		66T-W0078-00-00	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F30TLRB (2003)	500385		66T-W0078-00-00	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F30TLRC (2004)	500385		66T-W0078-00-00	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F30TLRD (2005)	500385		66T-W0078-00-00	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F30TLRZ (2001)	500385		66T-W0078-00-00	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F350AET1U (410)	500389			4-stroke. Year: Apr 2010. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350AET1X (410)	500389			4-stroke. Year: Apr 2010. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350NCB (114)	500389			4-stroke. Year: Jan 2014. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350NCB (115)	500389			4-stroke. Year: Jan 2015. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350NCC (116)	500389			4-stroke. Year: Jan 2016. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350TUR (407)	500389			4-stroke. Year: Apr 2007. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350TUR (408)	500389			4-stroke. Year: Apr 2008. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350TUR (409)	500389			4-stroke. Year: Apr 2009. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350TXR (407)	500389			4-stroke. Year: Apr 2007. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350TXR (408)	500389			4-stroke. Year: Apr 2008. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350TXR (409)	500389			4-stroke. Year: Apr 2009. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350UCA (_0411)	500389			4-stroke. Year: Apr 2011. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350UCA (410)	500389			4-stroke. Year: Apr 2010. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350UCB (_0112)	500389			4-stroke. Year: Jan 2012. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350UCB (113)	500389			4-stroke. Year: Jan 2013. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350UCB (114)	500389			4-stroke. Year: Jan 2014. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350UCB (115)	500389			4-stroke. Year: Jan 2015. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350UCC (116)	500389			4-stroke. Year: Jan 2016. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350XCA (_0411)	500389			4-stroke. Year: Apr 2011. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350XCA (410)	500389			4-stroke. Year: Apr 2010. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350XCB (_0112)	500389			4-stroke. Year: Jan 2012. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350XCB (113)	500389			4-stroke. Year: Jan 2013. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350XCB (114)	500389			4-stroke. Year: Jan 2014. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350XCB (115)	500389			4-stroke. Year: Jan 2015. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F350XCC (116)	500389			4-stroke. Year: Jan 2016. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
F4, F6 (>=Sep 2009)	500368		6EE-W0078-00-00	4-stroke. OEM code: 6E0-44352-00-00. (Produced from Sep 2009 onward.)	YAMAHA	Outboard Engines
F40 (1999)	500316			4-stroke. F40 models of year 1999. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F40BEJR (407)	500385		66T-W0078-00-00	4-stroke. April 2007. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40BMJH (407)	500385		66T-W0078-00-00	4-stroke. April 2007. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40BMLH (407)	500385		66T-W0078-00-00	4-stroke. April 2007. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40BMLH (408)	500385		66T-W0078-00-00	4-stroke. April 2008. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40BTLR (407)	500385		66T-W0078-00-00	4-stroke. April 2007. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40BTLR (408)	500385		66T-W0078-00-00	4-stroke. April 2008. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40EJR (405)	500385		66T-W0078-00-00	4-stroke. April 2005. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40EJR (406)	500385		66T-W0078-00-00	4-stroke. April 2006. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40EJRB (2003)	500385		66T-W0078-00-00	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40EJRB-PUMP (2003)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F40EJRC (2004)	500385		66T-W0078-00-00	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40EJRC-PUMP (2004)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F40EJRD (2005)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40EJRD-PUMP (2005)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F40ESRA (2002)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40ESRB (2003)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40ESRY (2000)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40ESRZ (2001)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MJH (405)	500385		500385G	4-stroke. Year: Apr 2005. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MJH (406)	500385		500385G	4-stroke. Year: Apr 2006. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MJHA (2002)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MJHA-PUMP (2002)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F40MJHB (2003)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MJHB-PUMP (2003)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F40MJHC (2004)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MJHC-PUMP (2004)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F40MJHD (2005)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MJHD-PUMP (2005)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F40MLH (405)	500385		500385G	4-stroke. Year: Apr 2005. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MLH (406)	500385		500385G	4-stroke. Year: Apr 2006. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MLHA (2002)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MLHB (2003)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MLHC (2004)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MLHD (2005)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MLHY (2000)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MLHZ (2001)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MSH (405)	500385		500385G	4-stroke. Year: Apr 2005. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MSH (406)	500385		500385G	4-stroke. Year: Apr 2006. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MSHA (2002)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MSHB (2003)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MSHC (2004)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MSHD (2005)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MSHY (2000)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40MSHZ (2001)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40TLR (405)	500385		500385G	4-stroke. Year: Apr 2005. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40TLR (406)	500385		500385G	4-stroke. Year: Apr 2006. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40TLRA (2002)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40TLRB (2003)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40TLRC (2004)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40TLRD (2005)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40TLRX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F40TLRY (2000)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F40TLRZ (2001)	500385		500385G	4-stroke. OEM code: 6H4-44352-02-00. OEM kit: 66T-W0078-00-00.	YAMAHA	Outboard Engines
F50 (>=1997)	500316			4-stroke. F50 models of  year >=1997. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50LA (112)	500316			January 2012. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50LA (412)	500316			April 2012. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50LB (113)	500316			January 2013. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50LB (114)	500316			January 2014. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50LB (115)	500316			January 2015. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50LB (116)	500316			January 2016. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TJRA-PUMP (2002)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLHT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLHU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLHV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLHW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLR (405)	500316			April 2005. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLR (406)	500316			April 2006. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLR (407)	500316			April 2007. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLR (408)	500316			April 2008. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLR (410)	500316			April 2010. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLR (509)	500316			May 2009. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLR_0411	500316			Year: Apr 2011. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLRA (2002)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLRB (2003)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLRC (2004)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLRD (2005)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLRT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLRU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLRV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLRW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLRX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLRY (2000)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F50TLRZ (2001)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F6, F8 (4T)	500368		68T-W0078-00-00	4-stroke. Water Pump Repair Kit for 6/8 HP (until Jun 2008). OEM code: 68T-44352-00.	YAMAHA	Outboard Engines
F60 (>=2002)	500316			4-stroke. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60JB (113)	500316			4-stroke. Year: Jan 2013. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60JB (115)	500316			4-stroke. Year: Jan 2015. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60JB (116)	500316			4-stroke. Year: Jan 2016. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60LA (112)	500316			Year: Jan 2012. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60LA (412)	500316			Year: Apr 2012. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60LB (113)	500316			Year: Jan 2013. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60LB (114)	500316			Year: Jan 2014. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60LB (115)	500316			Year: Jan 2015. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60LB (116)	500316			Year: Jan 2016. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TJR (405)	500316			Year: Apr 2005. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TJR (406)	500316			Year: Apr 2006. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TJR (407)	500316			Year: Apr 2007. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TJR-PUMP	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TJRB (2003)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TJRB-PUMP (2003)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TJRC (2004)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TJRC-PUMP (2004)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TJRD (2005)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TJRD-PUMP (2005)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TLR (405)	500316			Year: Apr 2005. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TLR (406)	500316			Year: Apr 2006. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TLR (407)	500316			Year: Apr 2007. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TLR (408)	500316			Year: Apr 2008. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TLR (410)	500316			Year: Apr 2010. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TLR (509)	500316			Year: May 2009. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TLR_0411	500316			Year: Apr 2011. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TLRA (2002)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TLRB (2003)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TLRC (2004)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F60TLRD (2005)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F70LA (113)	500316			Year: Jan 2013. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F70LA (114)	500316			Year: Jan 2014. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F70LA (115)	500316			Year: Jan 2015. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F70LA (116)	500316			Year: Jan 2016. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F70LA (310)	500316			Year: Mar 2010. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F70LA (410)	500316			Year: Apr 2010. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F70LA_0112	500316			Year: Jan 2012. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F70LA_0411	500316			Year: Apr 2011. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
F80A (1998~2005)	500364			4-stroke. From 1998 to 2005. OEM code: 67F-44352-00-00.	YAMAHA	Outboard Engines
F80B (2005~2018)	500364			4-stroke. From 2005 to 2018. OEM code: 67F-44352-00-00.	YAMAHA	Outboard Engines
F9.9 (<= 1996)	500320		682-W0078-A3-00	4-stroke. Up to 1996. OEM code: 682-44352-03-00. OEM kit: 682-W0078-A3-00.	YAMAHA	Outboard Engines
F9.9 (2004 ~ Apr 2005)	500320		682-W0078-A3-00	4-stroke. Model years 2004 to April 2005. OEM code: 682-44352-03-00. OEM kit: 682-W0078-A3-00.	YAMAHA	Outboard Engines
F9.9 (no year)	500320		682-W0078-A1-00	No stroke info given. OEM code: 682-44352-03-00. OEM kit: 682-W0078-A1-00.	YAMAHA	Outboard Engines
F9.9-2 (no year)	500363		63V-W0078-02-00	4-stroke typical. OEM code: 63V-44352-01-00.	YAMAHA	Outboard Engines
FL150AET1X (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
FL250DET1X (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
FL300BET1U (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
FL300BET1X (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
FL300BETU (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
FL300BETX (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
FL350AET1U (410)	500389			4-stroke. Year: Apr 2010. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
FL350AET1X (410)	500389			4-stroke. Year: Apr 2010. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
FT9.9 (<= 1996)	500320		682-W0078-A1-00	High-thrust 4-stroke (F=4-stroke, T=High Thrust). Up to 1996. OEM code: 682-44352-03-00. OEM kit: 682-W0078-A1-00.	YAMAHA	Outboard Engines
FT9.9 (2004 ~ Apr 2005)	500320		682-W0078-A3-00	High-thrust 4-stroke (F=4-stroke, T=High Thrust). Model years 2004 to April 2005. OEM code: 682-44352-03-00. OEM kit: 682-W0078-A3-00.	YAMAHA	Outboard Engines
L130TXRR (1993)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
L130TXRS (1994)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
