Id,Applications,Cef,NBR Version,Kit,Remarks,Manufacturer,Tipologia Appplicazione,Applications_note
"2101","TAMD41A, TAMD41B, TAMD41D, TAMD41H-A","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2102","TAMD41M-A, TAMD41P-A","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2103","TAMD41L-A, TAMD41M-A","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2104","TAMD42B, TAMD42WJ-A","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2105","TAMD42WJ-A, TAMD60A, TAMD60B","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2106","TAMD60C, TAMD70B, TAMD70C","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2107","TAMD61A, TAMD62A","500145GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2108","TAMD63L-A, TAMD63P-A","500162T",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2109","TAMD70D, TAMD70E, THAMD70B","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2110","TAMD71A, TAMD71B, TAMD72A","500105GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2111","TAMD72P-A","500105GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2112","TAMD73P-A, TAMD73WJ-A","500135T",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2113","TAMD74A-A, TAMD74A-B","500135T",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2114","TAMD74C-A, TAMD74L-A","500135T",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2115","TAMD74L-B, TAMD74P-A","500135T",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2116","TAMD74P-B, TAMD75P-A","500135T",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2117","TAMD102A, TAMD102D","500145GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2118","TAMD103A-A, TAMD103A-A AUX","500145GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2119","TAMD120A, TAMD120AK, TAMD120B, TAMD120B-CC","500145GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2120","TMD120A, TMD120AK,TMD120B","500145GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2121","TAMD121D","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2122","TAMD122A, TAMD122P-B, TAMD122P-C","500145GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2123","TAMD162A, TAMD162B, TAMD162C-TAMD162C-B","500145GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2124","TAMD163A-A,TAMD163P-A","500145GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2125","TAMD165A-A, TAMD165C-A, TAMD165P-A","500145GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2126","TD70CHC","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2127","THAMD70C, TMD30A, TMD31A","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2128","TMD22A, TMB22B","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2129","TMD22P-C","500107GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2130","TMD30/A","501008K",,,"RUBBER BUSHING TRASMISSION/ CUSCINETTO TRASMISSIONE","VOLVO-PENTA","INBOARD_ENGINES",
"2131","TMD31B, TMD31D, TMD31L-A","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2132","TMD40","501008K",,,"RUBBER BUSHING TRASMISSION/ CUSCINETTO TRASMISSIONE","VOLVO-PENTA","INBOARD_ENGINES",
"2133","TMD40A-TMD40B, TMD40C","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2134","TMD41A, TMD41B, TMD41D","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2135","TMD41L-A, TMD70B, TMD70C","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2136","TMD70B, TMD70C","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2137","TMD100A, TMD100AK, TMD100A-CC","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2138","TMD100C, TMD102A","500145GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2139","TMD120B","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2140","TMD120A, TMD120ACC, TMD120AK","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2141","TMD121C","500106GT",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2142","V6-200-A","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2143","V6-225-A, V6-225E-A","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2144","V8-225-C-A, V8-225-C-B,","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2145","V8-225-CE-A, V8-225-CE-B","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2146","V8-270-A, V8-270-B, V8-270-C-A, V8-270-C-B,","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2147","V8-270-CE-A, V8-270-CE-B, V8-270-E-A","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2148","V8-300-A, V8-300-B, V8-300-C-A, V8-300-C-B,","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2149","V8-300-CE-A, V8-300-CE-B,","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2150","V8-300-E-A, V8-300-E-B","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2151","V8-320-A, V8-320-A-A, V8-320-B,","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2152","V8-320-C-A, V8-320-C-B,","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2153","V8-320-CE-A, V8-320-CE-B,","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2154","V8-320-E-A, V8-320-E-B","500178G",,,,"VOLVO-PENTA","INBOARD_ENGINES",
"2155","PUMP/POMPA 11353","500103GT",,,,"WESTERBEKE","INBOARD_ENGINES",
"2156","PUMP/POMPA 16423","500103GT",,,,"WESTERBEKE","INBOARD_ENGINES",
"2157","PUMP/POMPA 16432","500120GT",,,,"WESTERBEKE","INBOARD_ENGINES",
"2158","PUMP/POMPA 24102","500166G",,,,"WESTERBEKE","INBOARD_ENGINES",
"2159","PUMP/POMPA 24143","500166G",,,,"WESTERBEKE","INBOARD_ENGINES",
"2160","PUMP/POMPA 32617","500121GX",,,,"WESTERBEKE","INBOARD_ENGINES",
"2161","PUMP/POMPA 38445","500103GT",,,,"WESTERBEKE","INBOARD_ENGINES",
"2162","1GM - 1GM10","500113",,,,"YANMAR","INBOARD_ENGINES",
"2163","2GM/GM20","500100GX",,,,"YANMAR","INBOARD_ENGINES",
"2164","2GMF/GMF 20","500129",,,,"YANMAR","INBOARD_ENGINES",
"2165","2GM20/F-YEU","500101GX",,,,"YANMAR","INBOARD_ENGINES",
"2166","2YM15","500101GX",,,,"YANMAR","INBOARD_ENGINES",
"2167","2QM/QM15/QM20","500100GX",,,,"YANMAR","INBOARD_ENGINES",
"2168","2QM/QM20","500129",,,,"YANMAR","INBOARD_ENGINES",
"2169","3GM/3GMD/3GM30/QM30","500100GX",,,,"YANMAR","INBOARD_ENGINES",
"2170","3GM30/F-YEU","500101GX",,,,"YANMAR","INBOARD_ENGINES",
"2171","3GMF/GMD/GMF30/QM30","500129",,,,"YANMAR","INBOARD_ENGINES",
"2172","3HM/HMF/HM35/HM35F","500129",,,,"YANMAR","INBOARD_ENGINES",
"2173","3JH2E - 3JH2-TE","500107GT",,,,"YANMAR","INBOARD_ENGINES",
"2174","3JH3E / 3JH4E / 3JH5E","500107GT",,,,"YANMAR","INBOARD_ENGINES",
"2175","3QM","500108CGT",,,,"YANMAR","INBOARD_ENGINES",
"2176","3YM20 / 3YM30","500101GX",,,,"YANMAR","INBOARD_ENGINES",
"2177","4JH2E/4JH2-TE","500107GT",,,,"YANMAR","INBOARD_ENGINES",
"2178","4JH2-UTE","500107GT",,,,"YANMAR","INBOARD_ENGINES","B"
"2179","4JH2-E/TE/HTE/DTE","500107GT",,,,"YANMAR","INBOARD_ENGINES",
"2180","4JH3E / 4JH4E/AE/TE/HTE / 4JH5E","500107GT",,,,"YANMAR","INBOARD_ENGINES",
"2181","4LHA-HT","500106GT",,,,"YANMAR","INBOARD_ENGINES","Z) (E) (P"
"2182","4LHA-ST","500106GT",,,,"YANMAR","INBOARD_ENGINES","Z) (E) (P"
"2183","4LH-DTE/-HTE/-STE/-TE","500106GT",,,"4BY","YANMAR","INBOARD_ENGINES",
"2184","4PH-TE/PHE/PHME/PHM-TE","500106GT",,,,"YANMAR","INBOARD_ENGINES",
"2185","6CXM-GTE2","500192",,,,"YANMAR","INBOARD_ENGINES",
"2186","6LY2-STE","500162G",,,,"YANMAR","INBOARD_ENGINES",
"2187","6LYA-UTE/-STE","500162G",,,,"YANMAR","INBOARD_ENGINES",
"2188","6LY-UTE/-STE","500161",,,,"YANMAR","INBOARD_ENGINES",
"2189","6LY3-ETP","500161",,,,"YANMAR","INBOARD_ENGINES",
"2190","6LP-DTE/-GLP/-STE","500124",,,,"YANMAR","INBOARD_ENGINES",
"2191","6PH-HTE/PH-TE/PHE/PHME","500106GT",,,"6BY","YANMAR","INBOARD_ENGINES",
"2192","6PHM- (H) TE","500106GT",,,"6BY","YANMAR","INBOARD_ENGINES",
"2193","PMX 6/8","500116GX",,,,"YANMAR","INBOARD_ENGINES",
"2194","SB8 - SB12","500100GX",,,,"YANMAR","INBOARD_ENGINES",
"2195","SVE8 - SVE12","500100GX",,,,"YANMAR","INBOARD_ENGINES",
"2196","YS B8/E8 - B12/E12","500100GX",,,,"YANMAR","INBOARD_ENGINES",
"2197","YSM8/YSM12","500100GX",,,,"YANMAR","INBOARD_ENGINES",
"2198","PS","500100GX",,,,"YANMAR","INBOARD_ENGINES",
"2204","UNIVER. PRIMER BULB KIT","500621.0",,,,,"FUEL_LINE_ASSEMBLIES",
"2205","UNIVER FUEL LINE ASSEMBLY","500600.0",,,,"KIT POMPETTA UNIVER. Ø 7 MM","FUEL_LINE_ASSEMBLIES",
"4398","9.9 - 15 HP","500334",,,,"CHRYSLER/FORCE","OUTBOARD_ENGINES",
"4399","25 - 35 HP","500335",,,,"CHRYSLER/FORCE","OUTBOARD_ENGINES",
"4400","35 - 45 - 55 HP","500392",,,"2 STROKES/2 TEMPI","CHRYSLER/FORCE","OUTBOARD_ENGINES","1971 - 1984"
"4401","35-45-55HP","500342",,,,"CHRYSLER/FORCE","OUTBOARD_ENGINES","1976-1980"
"4402","70HP (1979-80) ALL/TUTTI","500397",,,,"CHRYSLER/FORCE","OUTBOARD_ENGINES",
"4403","75HP (1979) ALL/TUTTI","500397",,,,"CHRYSLER/FORCE","OUTBOARD_ENGINES",
"4404","75-140 HP","500390",,,,"CHRYSLER/FORCE","OUTBOARD_ENGINES",
"4405","90/120 HP - F5 150 HP - 5 CYL","500313G",,,,"CHRYSLER/FORCE","OUTBOARD_ENGINES","88 >"
"4406","OUTBOARD / FUORIBORDO","500134X",,,,"ESKA","OUTBOARD_ENGINES",
"4407","1 1/2, 2 HP","500369",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1967-1984"
"4408","1.5, 2 HP","500358",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1968-1990"
"4409","1.6L SEADRIVES","500305",,,"THROUGH HUB EXHAUST/SCARICO DA BUSSOLA","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1982 >"
"4410","1.6L SEADRIVES","500308CR",,"BK0003","EXCEPT 1987 COUNTER ROTATION/TRANNE 1987 ROTAZIONE INVERSA","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1982-1994"
"4411","2,0, 2,3","500396",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1991-2001"
"4412","2,3L HP SEADRIVE","500308CR",,"BK0003",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1982-1994"
"4413","2.3L SEADRIVES","500305",,,"EXCEPT 1987 COUNTER ROTATION/TRANNE 1987 ROTAZIONE INVERSA","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1982 >"
"4414","2.5, 3, 4 ULTRA EXCEL","500332",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES",
"4415","3 HP","500350",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1957-1968"
"4416","3 HP","500396",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1991-2001"
"4417","4 HP","500350",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","110 GEARCASE) (1973-1983"
"4418","4 HP","500350",,,"WEEDLESS DRIVE/GUIDA SENZA ALGHE","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1969-1982"
"4419","4 HP","500358",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","90°) (1973-1980"
"4420","4 HP","500354G",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","90°) (1981-1990"
"4421","4 HP","500369",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","90°) GEARCASE (1973-1975"
"4422","5 HP","500350",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1965-1968"
"4423","5.5 HP","500350",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1957-1964"
"4424","5-6 HP","500354G",,,"4 STROKES/4 TEMPI","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1998 >"
"4425","6 HP","500350",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1965-1978"
"4426","6 HP","500358",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1979"
"4427","6-8-4,5-7 HP AND 4 DELUXE","500354G",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1980"
"4428","7.5 HP","500350",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1957-1958"
"4429","8, 9.9, 15 HP","500355",,"BK0009","4 STROKES/4 TEMPI","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","<-1994"
"4430","8, 9.9, 15 HP","500355",,"BK0008","4 STROKES/4 TEMPI","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1994->"
"4431","9,5 HP","500349",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1964-1973"
"4432","9.9 HP","500355",,"BK0009","4 STROKES/4 TEMPI","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","<-1974"
"4433","9.9 HP","500355",,"BK0008","4 STROKES/4 TEMPI","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1974->"
"4434","10 HP","500351",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1949-1957"
"4435","10 HP","500349",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1958-1963"
"4436","15 HP","500351",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1956-1973"
"4437","15 HP","500355",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1974-1980"
"4438","15 HP","500355",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1981-1989"
"4439","15 HP","500355",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1990->"
"4440","18 HP","500351",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1956-1973"
"4441","20 HP","500351",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1966-1978"
"4442","20 HP","500370C",,"BK0005",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1978-1984"
"4443","20 HP","500370C",,"BK0001",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1985-2002"
"4444","25 HP","500357G",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","OLD MODEL/MODELLO VECCHIO"
"4445","25 HP","500366",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1951-1955"
"4446","25 HP","500351",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1966-1978"
"4447","25 HP","500370C",,"BK0005",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1978-1984"
"4448","25 HP","500370C",,"BK0001",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1985-2005"
"4449","25 HP","500370C",,"BK0001",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","COMM) (1998-02"
"4450","25 HP","500357G",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","OLD MODEL/MODELLO VECCHIO"
"4451","25, 35","500370C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","3CYL) (1995-2002"
"4452","28 HP","500366",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1962-1964"
"4453","28, 14","500370C",,"BK0005",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","COMM) (1985-97"
"4454","30 HP","500366",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1951-1957"
"4455","30 HP","500370C",,"BK0001",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1985-1997"
"4456","30, 35","500370C",,"BK0001",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","2 CYL) (1983->"
"4457","30, 35","500370C",,"BK0001",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1980-1982"
"4458","33 HP","500366",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1962-1971"
"4459","35 HP","500366",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1951-1957"
"4460","35 HP","500374",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1976-1977"
"4461","35 HP","500370C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1978-1979"
"4462","35 HP","500370C",,"BK0001",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1980-1997"
"4463","35 HP W/THERMOSTART","500352",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1958-1959"
"4464","40 HP","500352",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1960-1970"
"4465","40 HP","500366",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1971-1973"
"4466","40 HP","500353",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1974-1976"
"4467","40 HP","500346C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1984-1988"
"4468","40 HP","500372C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1989 -1994"
"4469","40 HP COMM.","500353",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1981-1990"
"4470","40 HP COMM.","500346C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","RP, RW) (1993-1994"
"4471","40 HP COMM.","500373C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","RP.RW) (1995-2002"
"4472","40 HP COMM.","500373C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","RS) (1991-2002"
"4473","40-48-50 HP","500373C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1989-2002"
"4474","40-50 HP","500373C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1995-1995"
"4475","40-50-55-60 HP","500345",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1979-1985"
"4476","40-60 HP (1975-1988) 2CYL","500303N.WK",,"BK0002","WHITE KEY USED WITH SHAFT OE 391377/CHIAVETTA BIANCA È USATA CON ALBERO OE 391377","EVINRUDE - JOHNSON","OUTBOARD_ENGINES",
"4477","40-60 HP (1989-2005) 2CYL","500303N.BK",,"BK0002","BLACK KEY USED WITH SHAFT OE 432960-437376/CHIAVETTA NERA È USATA CON ALBERO OE 432960-437376","EVINRUDE - JOHNSON","OUTBOARD_ENGINES",
"4478","45-55 HP COMM","500373C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1995-2002"
"4479","45-55 HP COMM.","500346C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1986-1994"
"4480","48 HP","500346C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1987-1988"
"4481","48 HP","500372C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1989 -1994"
"4482","50 HP","500352",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1971-1975"
"4483","50 HP","500346C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1986-1988"
"4484","50 HP","500372C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1989-1994"
"4485","55 HP","500307",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1968-1969"
"4486","55 HP","500352",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1971-1978"
"4487","60-65 HP","500373C",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","COMM), 70 (1995-2002"
"4488","60-65-70-75 HP","500307",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1970-1978"
"4489","60-75 HP (1975-1988) 3CYL","500303N.WK",,"BK0002","WHITE KEY USED WITH SHAFT OE 391377/CHIAVETTA BIANCA È USATA CON ALBERO OE 391377","EVINRUDE - JOHNSON","OUTBOARD_ENGINES",
"4490","60-75 HP (1989-2005) 3CYL","500303N.BK",,"BK0002","BLACK KEY USED WITH SHAFT OE 432960-437376/CHIAVETTA NERA È USATA CON ALBERO OE 432960-437376","EVINRUDE - JOHNSON","OUTBOARD_ENGINES",
"4491","80 HP JET","500308CR",,"BK0003",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1993-1996"
"4492","85 HP","500306",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1969-1972"
"4493","85 HP","500305",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1973-1981"
"4494","85 HP","500305",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","25”“) (1977"
"4495","85 HP TTL","500308CR",,"BK0003",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1993-95"
"4496","88 HP","500305",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1987-1991"
"4497","88 HP","500308CR",,"BK0003",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1987-1996"
"4498","90 HP","500305",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1982-1994"
"4499","90 HP","500308CR",,"BK0003","“V” MODELS ONLY/SOLO MODELLI ”V”","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1982-2007"
"4500","100 HP","500306",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1968-1972"
"4501","100 HP","500305",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1979 >"
"4502","100 HP","500308CR",,"BK0003",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1979-1997"
"4503","100 HP COMM","500308CR",,"BK0003",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1984-1997"
"4504","100C HP","500305",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1984 >"
"4505","105 HP JET","500308CR",,"BK0003",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1994-2007"
"4506","110 HP","500305",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1986 >"
"4507","110 HP","500308CR",,"BK0003",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1986-1993"
"4508","112 HP","500308CR",,"BK0003",,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1994-1996"
"4509","115 HP","500306",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1969-1970"
"4510","115 HP","500305",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1973-1994"
"4511","115 HP","500308CR",,"BK0003","“V” MODELS ONLY/SOLO MODELLI ”V”","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1979-1997"
"4512","“115 HP (25”“) (1977)”","500305",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES",
"4513","120 HP","500305",,,"EXCEPT/TRANNE 1993 > 25” & 30”","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1985 >"
"4514","120 HP","500308CR",,"BK0003","EXCEPT/TRANNE 25” AND 30” MODELS/MODELLI","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1985-1994"
"4515","125 HP","500306",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1971-1972"
"4516","125 HP","500308CR",,"BK0003","KIT EXCEPT /TRANNE 25” AND 30” MODELS/MODELLI","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1994-1995"
"4517","130HP","500308CR",,"BK0003","KIT EXCEPT /TRANNE 25” AND 30” MODELS/MODELLI","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1994-1997"
"4518","135 HP","500305",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1973-1976"
"4519","140 HP","500305",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1977-1978"
"4520","140 HP","500305",,,"EXCEPT/TRANNE 1993 > 25” & 30”","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1979 >"
"4521","140 HP","500308CR",,"BK0003","EXCEPT/TRANNE 25” AND 30” MODELS/MODELLI","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1979-1994"
"4522","150 HP","500305",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1976-1978"
"4523","150 HP","500305",,,"EXCEPT/TRANNE 1993 > 25” & 30”","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1979 >"
"4524","150 HP","500308CR",,"BK0003","KIT EXCEPT /TRANNE 25” AND 30” MODELS/MODELLI","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1979-2006"
"4525","155 HP","500308CR",,"BK0003","EXCEPT/TRANNE 25” AND 30” MODELS/MODELLI","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1984 -"
"4526","155 HP","500305",,,"EXCEPT/TRANNE 1993 > 25” & 30”","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1984 >"
"4527","175 HP","500305",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1976-1978"
"4528","175 HP","500305",,,"EXCEPT/TRANNE 1993 > 25” & 30”","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1979 >"
"4529","175 HP","500308CR",,"BK0003","KIT EXCEPT /TRANNE 25” AND 30” MODELS/MODELLI","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1979-2006"
"4530","185 HP","500305",,,"EXCEPT/TRANNE 1993 > 25” & 30”","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1984 >"
"4531","185 HP","500308CR",,"BK0003","KIT EXCEPT /TRANNE 25” AND 30” MODELS/MODELLI","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1984-1994"
"4532","200 HP","500305",,,,"EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1976-1978"
"4533","200 HP","500305",,,"EXCEPT/TRANNE 1993 > 25” & 30”","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1979 >"
"4534","200 HP","500308CR",,"BK0003","KIT EXCEPT /TRANNE 25” AND 30” MODELS/MODELLI","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1979-2007"
"4535","225 HP","500305",,,"EXCEPT/TRANNE 1993 > 25” & 30”","EVINRUDE - JOHNSON","OUTBOARD_ENGINES","1986 >"
